x,y,z,D_020,D_040,D_260,D_280,D_300,D_320,D_340,D_360
4,-32,1.5,6.937230681818182e-05,1.4356204545454543e-05,4.493494318181817e-05,7.718647727272727e-05,7.004108522727271e-05,7.965709090909091e-05,8.800575284090907e-05,6.72521818181818e-05
8,-32,1.5,6.574566477272726e-05,1.3543954545454544e-05,4.384548295454545e-05,7.569610795454545e-05,6.878251704545453e-05,7.871345454545456e-05,8.68158096590909e-05,6.56910909090909e-05
12,-32,1.5,6.186715056818182e-05,1.3001772727272726e-05,4.2864914772727275e-05,7.520019886363636e-05,6.796423295454547e-05,7.732145454545454e-05,8.537934659090909e-05,6.379672727272725e-05
16,-32,1.5,5.8539144886363625e-05,1.2030249999999999e-05,4.137215909090909e-05,7.329036931818182e-05,6.689931818181817e-05,7.650636363636362e-05,8.293335227272725e-05,6.216345454545455e-05
20,-32,1.5,5.730826704545454e-05,9.897249999999999e-06,3.9589204545454545e-05,7.17315340909091e-05,6.571603977272727e-05,7.55738181818182e-05,8.102194602272727e-05,5.989818181818181e-05
40,-32,1.5,4.8251147727272726e-05,4.471361363636364e-06,3.430207386363636e-05,6.176605113636363e-05,5.62479153409091e-05,7.374309090909091e-05,6.649370738636363e-05,6.137145454545454e-05
-60,-28,1.5,0.00011798693181818181,5.8515659090909086e-05,8.03138068181818e-05,0.00011267017045454543,9.906213068181817e-05,0.0001145661818181818,0.00013422592329545455,0.00011443581818181817
-56,-28,1.5,0.00011544136363636364,5.505931818181818e-05,7.751443181818182e-05,0.00011142329545454545,9.820029545454545e-05,0.00011184127272727273,0.00013135982954545455,0.00011123399999999999
-52,-28,1.5,0.00011237727272727272,5.162231818181818e-05,7.647610795454544e-05,0.00010950482954545452,9.691332954545455e-05,0.00011028418181818181,0.00012918546875,0.00010813963636363636
-48,-28,1.5,0.00010937019886363635,4.7222636363636356e-05,7.379431818181818e-05,0.00010794772727272726,9.497261931818179e-05,0.00010758963636363638,0.00012566309659090908,0.00010455763636363636
-44,-28,1.5,0.00010626877840909092,4.473924999999999e-05,7.16972159090909e-05,0.00010601903409090907,9.373886931818181e-05,0.00010471236363636364,0.0001231280965909091,0.00010083672727272727
-40,-28,1.5,0.00010280071022727274,4.141006818181818e-05,6.974494318181817e-05,0.00010336306818181816,9.163469318181819e-05,0.00010299581818181818,0.00012071201704545452,9.765072727272727e-05
-36,-28,1.5,9.971258522727271e-05,3.8247204545454543e-05,6.698943181818182e-05,0.00010102215909090908,8.970424431818181e-05,0.00010060872727272725,0.00011716859375,9.40789090909091e-05
-32,-28,1.5,9.654494318181819e-05,3.45685e-05,6.495948863636362e-05,9.88741477272727e-05,8.775589772727273e-05,9.842981818181817e-05,0.0001142904971590909,9.108818181818183e-05
-28,-28,1.5,9.402289772727272e-05,3.211709090909091e-05,6.238366477272727e-05,9.697613636363637e-05,8.584585227272729e-05,9.594927272727272e-05,0.00011042872159090909,8.826254545454544e-05
-24,-28,1.5,9.063588068181818e-05,2.958127272727272e-05,6.049838068181818e-05,9.44650568181818e-05,8.394845454545456e-05,9.384581818181817e-05,0.00010719460227272727,8.559418181818182e-05
-20,-28,1.5,8.830585227272728e-05,2.7366045454545454e-05,5.8845113636363635e-05,9.241732954545454e-05,8.214042613636365e-05,9.220472727272727e-05,0.00010480308238636363,8.30510909090909e-05
-16,-28,1.5,8.528190340909092e-05,2.5219454545454543e-05,5.652718749999999e-05,9.077613636363635e-05,8.036914772727273e-05,9.04967272727273e-05,0.00010142049715909093,8.055945454545454e-05
-12,-28,1.5,8.390965909090909e-05,2.314252272727273e-05,5.4889744318181805e-05,8.843948863636362e-05,7.867876704545455e-05,8.840018181818181e-05,9.881901988636364e-05,7.819836363636363e-05
-8,-28,1.5,8.048735795454544e-05,2.1150363636363634e-05,5.279730113636363e-05,8.688323863636363e-05,7.71448125e-05,8.705945454545455e-05,9.643654829545454e-05,7.638690909090909e-05
